"Team","GP","W","L","OT","P","ROW","HROW","RROW","Ppct","GperG","GAperG","fiveFA","PPpct","PKpct","SperG","SAperG","Wscore","Wtrail","Wlead1","Wlead2","Woutshoot","Woutshot","FOpct","playoffs","playoffs1","conf","country"
"BOSTON",82,54,19,9,117,51,30,21,0.713,3.15,2.08,1.53,21.7,83.6,31.9,29.1,0.837,0.394,0.793,0.911,0.609,0.733,51.6,"Y",1,"E","USA"
"ANAHEIM",82,54,20,8,116,51,28,23,0.707,3.21,2.48,1.39,16,82.2,31.3,28.7,0.738,0.575,0.813,0.93,0.633,0.759,49.2,"Y",1,"W","USA"
"COLORADO",82,52,22,8,112,47,23,24,0.683,2.99,2.63,1.12,19.8,80.7,29.5,32.7,0.822,0.405,0.818,0.921,0.5,0.761,49.5,"Y",1,"W","USA"
"ST LOUIS",82,52,23,7,111,43,24,19,0.677,2.92,2.29,1.22,19.8,85.7,29.3,26.4,0.837,0.333,0.848,0.892,0.617,0.697,51.9,"Y",1,"W","USA"
"SAN JOSE",82,51,22,9,111,41,24,17,0.677,2.92,2.35,1.17,17.2,84.9,34.8,27.8,0.766,0.429,0.75,0.902,0.636,0.609,52.8,"Y",1,"W","USA"
"PITTSBURGH",82,51,24,7,109,44,25,19,0.665,2.95,2.49,1.05,23.4,85,29.9,28.8,0.841,0.368,0.893,0.861,0.614,0.629,51,"Y",1,"E","USA"
"CHICAGO",82,46,21,15,107,40,24,16,0.652,3.18,2.58,1.27,19.5,81.4,33.1,27.2,0.791,0.308,0.852,0.868,0.552,0.583,52,"Y",1,"W","USA"
"TAMPA BAY",82,46,27,9,101,38,22,16,0.616,2.83,2.55,1.16,18.5,80.7,29.8,29.2,0.738,0.375,0.72,0.848,0.578,0.588,49.2,"Y",1,"E","USA"
"MONTREAL",82,46,28,8,100,40,23,17,0.61,2.55,2.45,0.99,17.2,85.1,28.4,31,0.822,0.243,0.821,0.921,0.607,0.52,49.6,"Y",1,"E","CAN"
"LOS ANGELES",82,46,28,8,100,38,20,18,0.61,2.42,2.05,1.28,15.1,83.1,31.6,26.2,0.692,0.333,0.767,0.9,0.528,0.68,52.8,"Y",1,"W","USA"
"NY RANGERS",82,45,31,6,96,41,18,23,0.585,2.61,2.32,1.07,18.2,85.3,33.2,29.4,0.816,0.318,0.769,0.903,0.537,0.591,48.8,"Y",1,"E","USA"
"MINNESOTA",82,43,27,12,98,35,23,12,0.598,2.43,2.42,1.15,17.9,78.8,26.6,27.7,0.738,0.3,0.769,0.844,0.417,0.541,50.9,"Y",1,"W","USA"
"COLUMBUS",82,43,32,7,93,38,22,16,0.567,2.76,2.61,1.06,19.3,82.1,29.6,30.8,0.68,0.281,0.733,0.829,0.529,0.522,51.6,"Y",1,"E","USA"
"PHILADELPHIA",82,42,30,10,94,39,24,15,0.573,2.84,2.77,0.96,19.7,84.8,30.4,30.6,0.744,0.302,0.75,0.829,0.564,0.476,50,"Y",1,"E","USA"
"DALLAS",82,40,31,11,91,36,21,15,0.555,2.82,2.72,1.04,15.9,81.4,31.7,30.4,0.651,0.308,0.767,0.879,0.5,0.452,50.1,"Y",1,"W","USA"
"DETROIT",82,39,28,15,93,34,14,20,0.567,2.65,2.7,1.03,17.7,83,30,29.3,0.585,0.366,0.667,0.714,0.5,0.444,50.8,"Y",1,"E","USA"
"WASHINGTON",82,38,30,14,90,28,15,13,0.549,2.74,2.79,0.9,23.4,82,29.4,33.5,0.667,0.25,0.64,0.857,0.5,0.431,48.4,"N",0,"E","USA"
"NASHVILLE",82,38,32,12,88,36,18,18,0.537,2.61,2.84,0.88,19.2,80.2,29,28.9,0.75,0.239,0.885,0.857,0.421,0.538,53.1,"N",0,"W","USA"
"TORONTO",82,38,36,8,84,29,17,12,0.512,2.71,3.07,0.92,19.8,78.4,27.9,35.9,0.675,0.262,0.737,0.897,0.533,0.462,48.3,"N",0,"E","CAN"
"PHOENIX",82,37,30,15,89,31,19,12,0.543,2.56,2.73,1,19.9,79,30.5,31,0.63,0.222,0.719,0.697,0.289,0.605,52,"N",0,"W","USA"
"OTTAWA",82,37,31,14,88,30,15,15,0.537,2.79,3.15,0.95,18.4,80.9,32.8,34.7,0.65,0.262,0.607,0.774,0.387,0.5,51.2,"N",0,"E","CAN"
"WINNIPEG",82,37,35,10,84,29,13,16,0.512,2.67,2.82,0.95,15.4,83.2,30.7,30.1,0.6,0.34,0.75,0.76,0.426,0.471,46.9,"N",0,"W","CAN"
"VANCOUVER",82,36,35,11,83,31,19,12,0.506,2.33,2.63,0.93,15.2,83.2,30.8,28.4,0.553,0.341,0.652,0.75,0.4,0.472,51.4,"N",0,"W","CAN"
"CAROLINA",82,36,35,11,83,34,17,17,0.506,2.5,2.76,0.89,14.6,81.7,31.2,30.9,0.719,0.26,0.8,0.815,0.474,0.39,52.6,"N",0,"E","USA"
"NEW JERSEY",82,35,29,18,88,35,21,14,0.537,2.4,2.38,0.93,19.5,86.4,26.8,25.5,0.682,0.132,0.667,0.759,0.467,0.364,47,"N",0,"E","USA"
"CALGARY",82,35,40,7,77,28,14,14,0.47,2.46,2.9,0.8,15.7,81.7,26.8,28.6,0.697,0.245,0.75,0.786,0.324,0.535,46.2,"N",0,"W","CAN"
"NY ISLANDERS",82,34,37,11,79,25,10,15,0.482,2.63,3.18,0.83,17.8,78.1,30.9,30,0.5,0.354,0.556,0.556,0.375,0.432,47.2,"N",0,"E","USA"
"EDMONTON",82,29,44,9,67,25,15,10,0.409,2.43,3.26,0.71,17,82.1,26.9,32.9,0.486,0.255,0.714,0.789,0.417,0.321,49,"N",0,"W","CAN"
"FLORIDA",82,29,45,8,66,21,11,10,0.402,2.29,3.2,0.83,10,76,29.9,31.1,0.567,0.231,0.75,0.938,0.389,0.318,48.3,"N",0,"E","USA"
"BUFFALO",82,21,51,10,52,14,9,5,0.317,1.83,2.96,0.59,14.1,81.4,26.3,34.3,0.29,0.235,0.333,0.667,0.214,0.231,46.8,"N",0,"E","USA"
